itemid,datasetid,fold,hasbird
55.wav,ff1010bird,1,0
87.wav,ff1010bird,1,0
99.wav,ff1010bird,1,0
100.wav,ff1010bird,1,1
104.wav,ff1010bird,1,0
156.wav,ff1010bird,1,0
345.wav,ff1010bird,1,0
347.wav,ff1010bird,1,0
349.wav,ff1010bird,1,0
369.wav,ff1010bird,1,0
370.wav,ff1010bird,1,0
371.wav,ff1010bird,1,0
376.wav,ff1010bird,1,0
377.wav,ff1010bird,1,1
378.wav,ff1010bird,1,1
518.wav,ff1010bird,1,1
1042.wav,ff1010bird,1,0
1043.wav,ff1010bird,1,0
1044.wav,ff1010bird,1,0
1045.wav,ff1010bird,1,0
1046.wav,ff1010bird,1,0
1050.wav,ff1010bird,1,1
1051.wav,ff1010bird,1,1
1052.wav,ff1010bird,1,1
1053.wav,ff1010bird,1,0
1054.wav,ff1010bird,1,1
1055.wav,ff1010bird,1,1
1056.wav,ff1010bird,1,0
1748.wav,ff1010bird,1,0
1931.wav,ff1010bird,1,0
1932.wav,ff1010bird,1,1
1933.wav,ff1010bird,1,0
1934.wav,ff1010bird,1,0
1945.wav,ff1010bird,1,0
2151.wav,ff1010bird,1,0
2155.wav,ff1010bird,1,0
2157.wav,ff1010bird,1,1
2421.wav,ff1010bird,1,0
2432.wav,ff1010bird,1,0
2435.wav,ff1010bird,1,0
2519.wav,ff1010bird,1,0
2520.wav,ff1010bird,1,0
2521.wav,ff1010bird,1,0
2522.wav,ff1010bird,1,0
2523.wav,ff1010bird,1,0
2524.wav,ff1010bird,1,0
2525.wav,ff1010bird,1,0
2526.wav,ff1010bird,1,0
2527.wav,ff1010bird,1,0
2528.wav,ff1010bird,1,0
2529.wav,ff1010bird,1,0
2530.wav,ff1010bird,1,0
2531.wav,ff1010bird,1,0
2532.wav,ff1010bird,1,0
2533.wav,ff1010bird,1,0
2534.wav,ff1010bird,1,0
2535.wav,ff1010bird,1,0
2536.wav,ff1010bird,1,1
2537.wav,ff1010bird,1,1
2689.wav,ff1010bird,1,0
3093.wav,ff1010bird,1,0
3126.wav,ff1010bird,1,0
3177.wav,ff1010bird,1,0
3178.wav,ff1010bird,1,0
3179.wav,ff1010bird,1,1
3180.wav,ff1010bird,1,1
3182.wav,ff1010bird,1,1
3183.wav,ff1010bird,1,1
3184.wav,ff1010bird,1,1
3185.wav,ff1010bird,1,1
3186.wav,ff1010bird,1,1
3187.wav,ff1010bird,1,0
3188.wav,ff1010bird,1,1
3189.wav,ff1010bird,1,0
3190.wav,ff1010bird,1,1
3191.wav,ff1010bird,1,1
3202.wav,ff1010bird,1,0
5204.wav,ff1010bird,1,1
5560.wav,ff1010bird,1,0
5929.wav,ff1010bird,1,0
5996.wav,ff1010bird,1,1
5997.wav,ff1010bird,1,0
6108.wav,ff1010bird,1,0
7126.wav,ff1010bird,1,0
7133.wav,ff1010bird,1,0
7151.wav,ff1010bird,1,0
7152.wav,ff1010bird,1,0
7173.wav,ff1010bird,1,0
7174.wav,ff1010bird,1,0
7311.wav,ff1010bird,1,0
7313.wav,ff1010bird,1,0
7314.wav,ff1010bird,1,0
7320.wav,ff1010bird,1,1
7321.wav,ff1010bird,1,0
7456.wav,ff1010bird,1,0
7541.wav,ff1010bird,1,0
7542.wav,ff1010bird,1,0
7543.wav,ff1010bird,1,0
7875.wav,ff1010bird,1,0
7885.wav,ff1010bird,1,0
7886.wav,ff1010bird,1,0
7887.wav,ff1010bird,1,0
7888.wav,ff1010bird,1,0
7889.wav,ff1010bird,1,0
7917.wav,ff1010bird,1,0
7972.wav,ff1010bird,1,0
7991.wav,ff1010bird,1,0
7993.wav,ff1010bird,1,0
7994.wav,ff1010bird,1,0
7995.wav,ff1010bird,1,0
7996.wav,ff1010bird,1,0
8059.wav,ff1010bird,1,1
8060.wav,ff1010bird,1,1
9134.wav,ff1010bird,1,1
9188.wav,ff1010bird,1,0
9190.wav,ff1010bird,1,0
9219.wav,ff1010bird,1,0
9221.wav,ff1010bird,1,0
9223.wav,ff1010bird,1,0
9224.wav,ff1010bird,1,0
9225.wav,ff1010bird,1,0
9226.wav,ff1010bird,1,0
9227.wav,ff1010bird,1,0
9228.wav,ff1010bird,1,0
9229.wav,ff1010bird,1,0
9235.wav,ff1010bird,1,1
9236.wav,ff1010bird,1,0
9239.wav,ff1010bird,1,0
11171.wav,ff1010bird,1,0
11485.wav,ff1010bird,1,1
11505.wav,ff1010bird,1,0
11682.wav,ff1010bird,1,1
11683.wav,ff1010bird,1,0
11684.wav,ff1010bird,1,0
11685.wav,ff1010bird,1,0
11686.wav,ff1010bird,1,0
11687.wav,ff1010bird,1,0
11688.wav,ff1010bird,1,0
11689.wav,ff1010bird,1,0
11690.wav,ff1010bird,1,0
11691.wav,ff1010bird,1,0
11692.wav,ff1010bird,1,0
11693.wav,ff1010bird,1,0
11694.wav,ff1010bird,1,0
11695.wav,ff1010bird,1,0
11696.wav,ff1010bird,1,0
11697.wav,ff1010bird,1,0
11698.wav,ff1010bird,1,0
11699.wav,ff1010bird,1,0
11700.wav,ff1010bird,1,0
11701.wav,ff1010bird,1,0
11702.wav,ff1010bird,1,0
11703.wav,ff1010bird,1,0
11732.wav,ff1010bird,1,1
11735.wav,ff1010bird,1,0
11747.wav,ff1010bird,1,0
12699.wav,ff1010bird,1,0
12703.wav,ff1010bird,1,0
12704.wav,ff1010bird,1,0
12708.wav,ff1010bird,1,0
12710.wav,ff1010bird,1,0
12727.wav,ff1010bird,1,0
12728.wav,ff1010bird,1,0
13735.wav,ff1010bird,1,0
13747.wav,ff1010bird,1,0
13767.wav,ff1010bird,1,1
13774.wav,ff1010bird,1,0
13775.wav,ff1010bird,1,0
13777.wav,ff1010bird,1,1
13779.wav,ff1010bird,1,0
13791.wav,ff1010bird,1,1
13792.wav,ff1010bird,1,0
14313.wav,ff1010bird,1,0
14314.wav,ff1010bird,1,0
14385.wav,ff1010bird,1,0
14386.wav,ff1010bird,1,0
14387.wav,ff1010bird,1,0
14522.wav,ff1010bird,1,0
14523.wav,ff1010bird,1,0
14524.wav,ff1010bird,1,0
14525.wav,ff1010bird,1,0
14526.wav,ff1010bird,1,0
14527.wav,ff1010bird,1,0
14528.wav,ff1010bird,1,0
14529.wav,ff1010bird,1,1
14853.wav,ff1010bird,1,0
14854.wav,ff1010bird,1,1
14909.wav,ff1010bird,1,1
15220.wav,ff1010bird,1,1
15221.wav,ff1010bird,1,1
15222.wav,ff1010bird,1,1
15223.wav,ff1010bird,1,1
15224.wav,ff1010bird,1,1
15225.wav,ff1010bird,1,1
15226.wav,ff1010bird,1,0
15287.wav,ff1010bird,1,0
15290.wav,ff1010bird,1,0
15292.wav,ff1010bird,1,0
15293.wav,ff1010bird,1,0
15295.wav,ff1010bird,1,0
15311.wav,ff1010bird,1,0
15349.wav,ff1010bird,1,0
15351.wav,ff1010bird,1,0
15352.wav,ff1010bird,1,0
15392.wav,ff1010bird,1,1
15422.wav,ff1010bird,1,0
15423.wav,ff1010bird,1,0
15424.wav,ff1010bird,1,0
15426.wav,ff1010bird,1,0
15459.wav,ff1010bird,1,1
15464.wav,ff1010bird,1,0
15465.wav,ff1010bird,1,1
15466.wav,ff1010bird,1,0
15467.wav,ff1010bird,1,1
15468.wav,ff1010bird,1,0
15469.wav,ff1010bird,1,1
15470.wav,ff1010bird,1,0
15471.wav,ff1010bird,1,0
15472.wav,ff1010bird,1,0
15473.wav,ff1010bird,1,0
15474.wav,ff1010bird,1,0
15528.wav,ff1010bird,1,0
15541.wav,ff1010bird,1,1
15542.wav,ff1010bird,1,1
15552.wav,ff1010bird,1,1
15553.wav,ff1010bird,1,0
15598.wav,ff1010bird,1,1
15651.wav,ff1010bird,1,0
15652.wav,ff1010bird,1,0
15653.wav,ff1010bird,1,0
15656.wav,ff1010bird,1,0
15657.wav,ff1010bird,1,1
15659.wav,ff1010bird,1,0
15689.wav,ff1010bird,1,0
15790.wav,ff1010bird,1,0
15791.wav,ff1010bird,1,0
15792.wav,ff1010bird,1,0
15849.wav,ff1010bird,1,1
15850.wav,ff1010bird,1,1
15851.wav,ff1010bird,1,0
16007.wav,ff1010bird,1,0
16008.wav,ff1010bird,1,0
16009.wav,ff1010bird,1,0
16371.wav,ff1010bird,1,0
16372.wav,ff1010bird,1,0
16625.wav,ff1010bird,1,1
16626.wav,ff1010bird,1,1
16627.wav,ff1010bird,1,1
16628.wav,ff1010bird,1,1
16629.wav,ff1010bird,1,0
16633.wav,ff1010bird,1,0
16646.wav,ff1010bird,1,1
16673.wav,ff1010bird,1,0
16765.wav,ff1010bird,1,1
16766.wav,ff1010bird,1,1
16767.wav,ff1010bird,1,1
16770.wav,ff1010bird,1,0
16771.wav,ff1010bird,1,0
16782.wav,ff1010bird,1,0
16783.wav,ff1010bird,1,0
16784.wav,ff1010bird,1,0
16834.wav,ff1010bird,1,1
16835.wav,ff1010bird,1,1
16836.wav,ff1010bird,1,0
16837.wav,ff1010bird,1,0
